gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,countryCode,decimalLatitude,decimalLongitude,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,catalogNumber,recordNumber,license,rightsHolder,recordedBy
2859435887,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.792239,-76.926785,1908-07-17T00:00:00,17,7,1908,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063224,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859435185,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.68333,-79.53333,1994-06-11T00:00:00,11,6,1994,3189883,3189883,PRESERVED_SPECIMEN,CM,CM390699,5712,CC0_1_0,Carnegie Museum of Natural History,Isaac
2859434934,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer drummondii Hook. & Arn. ex Nutt.,US,35.318728,-82.460953,1933-05-26T00:00:00,26,5,1933,3768557,3189883,PRESERVED_SPECIMEN,CM,CM184589,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bright
2859434933,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer drummondii Hook. & Arn. ex Nutt.,US,35.318728,-82.460953,1923-05-26T00:00:00,26,5,1923,3768557,3189883,PRESERVED_SPECIMEN,CM,CM184559,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bright
2859434932,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,,,1947-05-29T00:00:00,29,5,1947,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184551,s.n.,CC0_1_0,Carnegie Museum of Natural History,Fisher
2859434931,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,,,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184514,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859434930,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,34.74648,-92.30725,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM184496,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bailey
2859434887,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,trilobum,VARIETY,Acer rubrum var. trilobum Torr. & Gray ex K.Koch,US,39.870881,-79.494581,1902-06-29T00:00:00,29,6,1902,4272376,3189883,PRESERVED_SPECIMEN,CM,CM063466,s.n.,CC0_1_0,Carnegie Museum of Natural History,Shafer
2859434886,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.036399,-78.058153,1966-05-26T00:00:00,26,5,1966,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063448,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859434885,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.571921,-78.9081,1950-08-24T00:00:00,24,8,1950,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063429,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859434884,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.578952,-78.998662,1956-04-14T00:00:00,14,4,1956,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063379,s.n.,CC0_1_0,Carnegie Museum of Natural History,Henry
2859434881,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.511849,-80.36453,1929-04-14T00:00:00,14,4,1929,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063325,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859434880,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,42.163531,-80.101233,,,,,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063298,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859434879,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.503957,-80.140335,1916-05-06T00:00:00,6,5,1916,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063279,s.n.,CC0_1_0,Carnegie Museum of Natural History,Gibson
2859434878,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,40.6366,-80.08257,1916-11-03T00:00:00,3,11,1916,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063260,s.n.,CC0_1_0,Carnegie Museum of Natural History,Jennings
2859434877,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum,,SPECIES,Acer rubrum L.,US,41.1828,-75.41365,1921-05-30T00:00:00,30,5,1921,3189883,3189883,PRESERVED_SPECIMEN,CM,CM063241,s.n.,CC0_1_0,Carnegie Museum of Natural History,Bright
